Welcome to Yade 2020.01a 
Using python version: 3.8.10 (default, Mar 13 2023, 10:26:41) 
[GCC 9.4.0]
Warning: no X rendering available (see https://bbs.archlinux.org/viewtopic.php?id=13189)
XMLRPC info provider on http://localhost:21004
nbSpheres= 9976.0  | Rmean= 0.031127148105453077  | Rmax/Rmin= 1.9973438683632665
K= 12.75541299117883
ISOTROPIC CONFINEMENT!
unbalanced force: 1.5413008557594603  mean stress:  6.709112380748979
unbalanced force: 1.9031731893153971  mean stress:  6.6747859658856425
unbalanced force: 2.185845303006268  mean stress:  202.82005571650976
unbalanced force: 1.5266455710747149  mean stress:  6.702931542204287
unbalanced force: 1.9065306161784936  mean stress:  6.679303725342766
unbalanced force: 2.1822563393925387  mean stress:  203.0589480310222
unbalanced force: 1.5358022573069332  mean stress:  6.723430103113138
unbalanced force: 1.903238476481559  mean stress:  6.668314855057578
unbalanced force: 2.1663107733532003  mean stress:  202.71453144893314
unbalanced force: 1.5238309693398069  mean stress:  6.704855862796953
unbalanced force: 1.907788673075248  mean stress:  6.7002122698529165
unbalanced force: 2.1839976444389073  mean stress:  203.19961329992648
unbalanced force: 1.5246737194981008  mean stress:  6.700156146944177
unbalanced force: 1.9015080691939916  mean stress:  6.6868256488291165
unbalanced force: 2.1859753731731257  mean stress:  203.2598945890361
unbalanced force: 1.5279267635135412  mean stress:  6.704174885028025
unbalanced force: 1.9094596128380004  mean stress:  6.690872719268803
unbalanced force: 2.1787376043508213  mean stress:  203.143005542629
unbalanced force: 1.5403989420414164  mean stress:  6.711444922457209
unbalanced force: 1.9177099710575571  mean stress:  6.680842801002865
unbalanced force: 2.171988763583598  mean stress:  202.99708348098306
unbalanced force: 1.5276127972494082  mean stress:  6.71448483147453
unbalanced force: 1.9041366222142164  mean stress:  6.668927739721281
unbalanced force: 2.1840652836390158  mean stress:  202.80703180773162
unbalanced force: 1.5329566608086498  mean stress:  6.715996763870663
unbalanced force: 1.9073694509586745  mean stress:  6.69033466879623
unbalanced force: 2.1792461012233626  mean stress:  202.91756413327516
unbalanced force: 1.5287662901147168  mean stress:  6.700578561038939
unbalanced force: 1.9037572823616722  mean stress:  6.67733269951214
unbalanced force: 2.1684252185358672  mean stress:  203.00651487856615
unbalanced force: 1.5201817856483737  mean stress:  6.714647699342033
unbalanced force: 1.906081920235805  mean stress:  6.695214338986571
unbalanced force: 2.1769519262082713  mean stress:  202.9429837235302
unbalanced force: 1.5350270786771008  mean stress:  6.6986622766023665
unbalanced force: 1.9055163011076477  mean stress:  6.682823892892902
unbalanced force: 2.1773804882658374  mean stress:  203.02467199031923
unbalanced force: 1.5360892628951432  mean stress:  6.691534452632631
unbalanced force: 1.8956566727646231  mean stress:  6.68837078478293
unbalanced force: 2.1835428878411807  mean stress:  198.07942807062523
unbalanced force: 1.5331586195176172  mean stress:  6.686601335281769
unbalanced force: 1.9087942807892582  mean stress:  6.691372412111657
unbalanced force: 2.1742664295378846  mean stress:  198.13422847709134
unbalanced force: 1.5276247190123546  mean stress:  6.722406311496407
unbalanced force: 1.8940172430067708  mean stress:  6.69584427565247
unbalanced force: 2.1753989568944094  mean stress:  197.9200579246897
unbalanced force: 1.5322733663228043  mean stress:  6.706261303872902
unbalanced force: 1.8985724370747044  mean stress:  6.696693142505954
unbalanced force: 2.1922935969707265  mean stress:  198.19470094780868
unbalanced force: 1.5248908334393814  mean stress:  6.686246547295524
unbalanced force: 1.9157220749746122  mean stress:  6.673248632642379
unbalanced force: 2.1769423526334926  mean stress:  198.23128660447654
unbalanced force: 1.5308482972525022  mean stress:  6.696643519499354
unbalanced force: 1.9079496914292378  mean stress:  6.670763374569227
unbalanced force: 2.176461895531609  mean stress:  197.8784780600869
unbalanced force: 1.531472091584678  mean stress:  6.705999810312918
unbalanced force: 1.9175067050529249  mean stress:  6.682789865785748
unbalanced force: 2.1880262729393327  mean stress:  197.96982827327588
unbalanced force: 1.5251777087765295  mean stress:  6.710666906385726
unbalanced force: 1.9032977473871089  mean stress:  6.666728681919615
unbalanced force: 2.169545701766624  mean stress:  198.03356602809444
unbalanced force: 1.5271809092721742  mean stress:  6.701469293116176
unbalanced force: 1.9041758143877854  mean stress:  6.695324575490726
unbalanced force: 2.182197204502622  mean stress:  198.03842633322753
unbalanced force: 1.5348289762685092  mean stress:  6.685682486006812
unbalanced force: 1.9170250136610767  mean stress:  6.704097424788263
unbalanced force: 2.173522086561149  mean stress:  198.13154783486684
unbalanced force: 1.5354732002707692  mean stress:  6.712171788491188
unbalanced force: 1.9159437563003707  mean stress:  6.69021734615701
unbalanced force: 2.173120413722274  mean stress:  198.18325860348227
unbalanced force: 1.5276497171242256  mean stress:  6.705637800482431
unbalanced force: 1.9105719072820535  mean stress:  6.6747189333648125
unbalanced force: 2.184855893051961  mean stress:  198.3432433879946
unbalanced force: 1.5320419179130957  mean stress:  6.702611362810461
unbalanced force: 1.9127983955665253  mean stress:  6.688170610666205
unbalanced force: 2.1727371408475955  mean stress:  198.27777066553088
unbalanced force: 1.533156093606569  mean stress:  6.689874833831834
unbalanced force: 1.898516630221022  mean stress:  6.700927721249258
unbalanced force: 2.171492929752501  mean stress:  192.98379390226714
unbalanced force: 1.5308965700481587  mean stress:  6.699291763956462
unbalanced force: 1.8943732834535694  mean stress:  6.685478323431128
unbalanced force: 2.1782074086560352  mean stress:  192.80514862976256
unbalanced force: 1.5336809757340162  mean stress:  6.716506815743183
unbalanced force: 1.9072234607406222  mean stress:  6.687262697541674
unbalanced force: 2.182250702183686  mean stress:  193.20445492142073
unbalanced force: 1.5363735761081063  mean stress:  6.69568916600348
unbalanced force: 1.9064553865222345  mean stress:  6.688362144756923
unbalanced force: 2.1716958691054633  mean stress:  192.97635528183068
unbalanced force: 1.5392706603605792  mean stress:  6.700822901265876
unbalanced force: 1.8997698950423145  mean stress:  6.6873843043669545
unbalanced force: 2.184357162089482  mean stress:  192.95160320123568
unbalanced force: 1.5318120114030707  mean stress:  6.684562215512294
unbalanced force: 1.9049297972927886  mean stress:  6.709578388847562
unbalanced force: 2.1851205602579356  mean stress:  193.31432069271213
unbalanced force: 1.5374359119293064  mean stress:  6.697808586768442
unbalanced force: 1.915308194440782  mean stress:  6.692582303621715
unbalanced force: 2.1852481361435436  mean stress:  193.10336980738091
unbalanced force: 1.5405764482383084  mean stress:  6.693625324470079
unbalanced force: 1.897274639064697  mean stress:  6.6879151329976
unbalanced force: 2.1853982668890035  mean stress:  192.97274759349838
unbalanced force: 1.5317566256135366  mean stress:  6.707733176916694
unbalanced force: 1.9031139183314985  mean stress:  6.686212228250199
unbalanced force: 2.184347158502216  mean stress:  193.11310124245355
unbalanced force: 1.5329022323805404  mean stress:  6.70121006602713
unbalanced force: 1.916500109558847  mean stress:  6.691675404004132
unbalanced force: 2.1636365080399944  mean stress:  193.01191220666075
unbalanced force: 1.5354035951870557  mean stress:  6.7308885181668545
unbalanced force: 1.9075294605648425  mean stress:  6.679960893701799
unbalanced force: 2.174533166052609  mean stress:  193.01158915052858
unbalanced force: 1.535238010470927  mean stress:  6.696629582691074
